styrk08,name_en,source
7234,Bicycle and related repairers,"SSB Klass API, classification 7, language=en"
7311,Precision-instrument makers and repairers,"SSB Klass API, classification 7, language=en"
7312,Musical instrument makers and tuners,"SSB Klass API, classification 7, language=en"
7313,Jewellery and precious metal workers,"SSB Klass API, classification 7, language=en"
7314,Potters and related workers,"SSB Klass API, classification 7, language=en"
7315,"Glass makers, cutters, grinders and finishers","SSB Klass API, classification 7, language=en"
7316,"Sign writers, decorative painters, engravers and etchers","SSB Klass API, classification 7, language=en"
7317,"Handicraft workers in wood, basketry and related materials","SSB Klass API, classification 7, language=en"
7318,"Handicraft workers in textile, leather and related materials","SSB Klass API, classification 7, language=en"
7319,Handicraft workers not elsewhere classified,"SSB Klass API, classification 7, language=en"
7321,Pre-press technicians,"SSB Klass API, classification 7, language=en"
7322,Printers,"SSB Klass API, classification 7, language=en"
7323,Print finishing and binding workers,"SSB Klass API, classification 7, language=en"
7411,Building and related electricians,"SSB Klass API, classification 7, language=en"
7412,Electrical mechanics and fitters,"SSB Klass API, classification 7, language=en"
7413,Electrical line installers and repairers,"SSB Klass API, classification 7, language=en"
7421,Electronics mechanics and servicers,"SSB Klass API, classification 7, language=en"
7422,Information and communications technology installers and servicers,"SSB Klass API, classification 7, language=en"
7511,"Butchers, fishmongers and related food preparers","SSB Klass API, classification 7, language=en"
7512,"Bakers, pastry-cooks and confectionery makers","SSB Klass API, classification 7, language=en"
7513,Dairy product makers,"SSB Klass API, classification 7, language=en"
7514,"Fruit, vegetables and related preservers","SSB Klass API, classification 7, language=en"
7515,Food and beverage tasters and graders,"SSB Klass API, classification 7, language=en"
7522,Cabinet makers and related workers,"SSB Klass API, classification 7, language=en"
7531,"Tailors, dressmakers, furriers and hatters","SSB Klass API, classification 7, language=en"
7532,Garment and related patternmakers and cutters,"SSB Klass API, classification 7, language=en"
7534,Upholsterers and related workers,"SSB Klass API, classification 7, language=en"
7535,"Pelt dressers, tanners and fellmongers","SSB Klass API, classification 7, language=en"
7536,Shoemakers and related workers,"SSB Klass API, classification 7, language=en"
7541,Underwater divers,"SSB Klass API, classification 7, language=en"
7542,Shotfirers and blasters,"SSB Klass API, classification 7, language=en"
7543,Product graders and testers (excluding food and beverages),"SSB Klass API, classification 7, language=en"
7544,Fumigators and other pest and weed controllers,"SSB Klass API, classification 7, language=en"
7549,Craft and related workers not elsewhere classified,"SSB Klass API, classification 7, language=en"
8111,Miners and quarriers,"SSB Klass API, classification 7, language=en"
8112,Mineral and stone processing plant operators,"SSB Klass API, classification 7, language=en"
8113,Well drillers and borers and related workers,"SSB Klass API, classification 7, language=en"
8114,"Cement, stone and other mineral products machine operators","SSB Klass API, classification 7, language=en"
8121,Metal processing plant operators,"SSB Klass API, classification 7, language=en"
8122,"Metal finishing, plating and coating machine operators","SSB Klass API, classification 7, language=en"
8131,Chemical products plant and machine operators,"SSB Klass API, classification 7, language=en"
8132,Photographic products machine operators,"SSB Klass API, classification 7, language=en"
8141,Rubber products machine operators,"SSB Klass API, classification 7, language=en"
8142,Plastic products machine operators,"SSB Klass API, classification 7, language=en"
8143,Paper products machine operators,"SSB Klass API, classification 7, language=en"
8151,"Fibre preparing, spinning and winding machine operators","SSB Klass API, classification 7, language=en"
8152,Weaving and knitting machine operators,"SSB Klass API, classification 7, language=en"
8153,Sewing machine operators,"SSB Klass API, classification 7, language=en"
8154,"Bleaching, dyeing and fabric cleaning machine operators","SSB Klass API, classification 7, language=en"
8155,Fur and leather preparing machine operators,"SSB Klass API, classification 7, language=en"
8156,Shoemaking and related machine operators,"SSB Klass API, classification 7, language=en"
8157,Laundry machine operators,"SSB Klass API, classification 7, language=en"
8159,"Textile, fur and leather products machine operators not elsewhere classified","SSB Klass API, classification 7, language=en"
8160,Food and related products machine operators,"SSB Klass API, classification 7, language=en"
8171,Pulp and papermaking plant operators,"SSB Klass API, classification 7, language=en"
