styrk08,microsoft_applicability,microsoft_user,microsoft_action,pctl_rank,quintile,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
2354,0.204833,0.30788,0.101786,69.39,4,1,1,6,
2355,0.2326,0.340432,0.124768,77.3,4,2,1,6,
2356,0.241748,0.284906,0.19859,80.36,5,1,1,2,
2359,0.29273,0.410471,0.174989,91.07,5,2,1,3,
2411,0.246761,0.330368,0.163154,82.14,5,3,0,0,
2412,0.307492,0.412631,0.202352,93.11,5,2,1,2,
2413,0.186868,0.262402,0.111333,64.54,4,3,1,2,
2421,0.257605,0.325222,0.189988,85.97,5,2,0,0,
2422,0.20046,0.272423,0.128496,67.09,4,1,1,2,
2423,0.190055,0.24464,0.13547,65.31,4,4,1,2,
2424,0.241748,0.284906,0.19859,80.61,5,1,1,2,
2431,0.402041,0.49379,0.310291,99.23,5,2,1,2,
2432,0.365285,0.407077,0.323493,97.45,5,1,0,0,
2433,0.241461,0.313045,0.169877,79.85,4,2,1,9,
2434,0.259973,0.338842,0.181104,86.99,5,3,1,9,
2511,0.240942,0.360326,0.121558,79.34,4,2,0,0,
2512,0.302945,0.432262,0.173629,92.09,5,2,0,0,
2513,0.323576,0.459711,0.187442,95.41,5,1,1,2,
2514,0.310032,0.465177,0.154887,93.88,5,1,0,0,
2519,0.282782,0.386462,0.179101,90.05,5,1,1,2,
2521,0.304681,0.408661,0.200701,92.6,5,1,0,0,
2522,0.252526,0.419107,0.085944,83.67,5,1,1,2,
2523,0.25197,0.383518,0.120422,83.16,5,1,0,0,
2529,0.252371,0.341968,0.162775,83.42,5,2,1,2,
2611,0.180255,0.243615,0.116895,61.22,4,1,0,0,
2612,0.108407,0.168352,0.048463,32.14,2,2,0,0,
2619,0.111593,0.162131,0.061054,34.95,2,1,0,0,
2621,0.262018,0.419557,0.104479,87.24,5,2,0,0,
2622,0.254299,0.34114,0.167458,84.95,5,2,0,0,
2631,0.327739,0.408184,0.247294,95.92,5,1,0,0,
2632,0.278957,0.363189,0.194724,89.8,5,3,0,0,
2633,0.394155,0.516324,0.271987,98.47,5,3,1,2,
2634,0.22296,0.309611,0.136309,75.77,4,3,0,0,
2635,0.236604,0.339029,0.134179,78.32,4,6,0,0,
2636,0.249152,0.372613,0.125692,82.65,5,2,0,0,
2641,0.398267,0.493674,0.302859,98.98,5,3,1,2,
2642,0.375078,0.457848,0.292309,97.96,5,2,1,2,
2643,0.410753,0.529607,0.291899,99.74,5,2,1,2,
2651,0.19035,0.308906,0.071795,65.56,4,2,1,5,
2652,0.110779,0.152462,0.069097,34.44,2,2,0,0,
2653,0.122888,0.158601,0.087176,41.84,3,2,0,0,
2654,0.175314,0.229987,0.120641,58.42,3,3,0,0,
2655,0.130875,0.197887,0.063863,44.9,3,1,0,0,
2656,0.395981,0.472756,0.319205,98.72,5,2,0,0,
2659,0.252546,0.367844,0.137248,83.93,5,1,1,3,
