styrk08,rank,neighbour,similarity,n_soc,n_soc_neighbour,shared_elements
2146,4,2145,0.913,4,1,Science; Mathematics; Technology Design
2146,5,2144,0.9008,4,4,Technology Design; Science; Mathematics
2149,1,2144,0.9558,5,4,Technology Design; Science; Mathematics
2149,2,2141,0.9384,5,1,Technology Design; Science; Mathematics
2149,3,2146,0.9382,5,4,Science; Technology Design; Mathematics
2149,4,2145,0.9166,5,1,Technology Design; Science; Operations Analysis
2149,5,2152,0.8633,5,2,"Technology Design; Operations Analysis; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
2151,1,2144,0.8416,1,4,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Technology Design; Operations Analysis"
2151,2,2149,0.8228,1,5,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Technology Design; Operations Analysis"
2151,3,2146,0.8109,1,4,"Science; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Mathematics"
2151,4,2152,0.7916,1,2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Technology Design; Operations Analysis"
2151,5,1223,0.7836,1,2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Scheduling Work and Activities; Science"
2152,1,2153,0.9531,2,1,"Technology Design; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Programming"
2152,2,2144,0.8651,2,4,"Technology Design; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis"
2152,3,2149,0.8633,2,5,"Technology Design; Operations Analysis; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
2152,4,2523,0.8624,2,1,"Technology Design; Programming; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
2152,5,2511,0.8222,2,2,Technology Design; Programming; Operations Analysis
2153,1,2152,0.9531,1,2,"Technology Design; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Programming"
2153,2,2523,0.8586,1,1,"Technology Design; Programming; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
2153,3,2144,0.8096,1,4,"Technology Design; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis"
2153,4,2149,0.7928,1,5,"Technology Design; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis"
2153,5,3514,0.7924,1,2,Programming; Technology Design; Operations Analysis
2161,1,2142,0.8698,1,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis; Mathematics"
2161,2,2162,0.8696,1,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis; Thinking Creatively"
2161,3,1223,0.8258,1,2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Mathematics; Operations Analysis"
2161,4,2143,0.8223,1,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Mathematics; Science"
2161,5,2146,0.7898,1,4,"Operations Analysis; Mathematics; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
2162,1,2161,0.8696,1,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis; Thinking Creatively"
2162,2,2142,0.8423,1,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis; Time Management"
2162,3,1223,0.8142,1,2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Time Management; Operations Analysis"
2162,4,1112,0.7848,1,3,Operations Analysis; Coordination; Time Management
2162,5,2143,0.7805,1,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Coordination; Staffing Organizational Units"
2163,1,3432,0.7299,2,3,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis; Thinking Creatively"
2163,2,2162,0.7192,2,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis; Thinking Creatively"
2163,3,2654,0.6974,2,3,Thinking Creatively; Operations Analysis; Time Management
2163,4,2142,0.6754,2,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Technology Design; Operations Analysis"
2163,5,2161,0.6722,2,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis; Thinking Creatively"
2164,1,2421,0.8646,1,2,Systems Analysis; Systems Evaluation; Developing Objectives and Strategies
2164,2,2133,0.8509,1,2,Systems Analysis; Communicating with People Outside the Organization; Developing Objectives and Strategies
2164,3,2611,0.8245,1,1,Resolving Conflicts and Negotiating with Others; Judgment and Decision Making; Negotiation
2164,4,2422,0.8139,1,1,Developing Objectives and Strategies; Systems Analysis; Systems Evaluation
2164,5,1212,0.8128,1,3,Developing Objectives and Strategies; Resolving Conflicts and Negotiating with Others; Developing and Building Teams
2165,1,3112,0.7109,2,5,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Mathematics; Evaluating Information to Determine Compliance with Standards"
2165,2,2114,0.6935,2,2,Mathematics; Analyzing Data or Information; Science
