styrk08,aioe,pctl_aioe,q_aioe,aioe_lm,pctl_aioe_lm,q_aioe_lm,aioe_ig,pctl_aioe_ig,q_aioe_ig,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
7543,-0.02934,48.72,3,-0.155678,46.68,3,0.112035,55.1,3,1,0,0,
7544,-0.721739,29.08,2,-0.714494,30.36,2,-0.527377,32.14,2,3,1,2,
7549,-0.434261,38.78,2,-0.56864,34.44,2,0.259844,58.42,3,2,0,0,
8111,-1.265259,8.67,1,-1.371282,4.08,1,-0.847364,17.35,1,7,1,2,
8112,-1.092681,13.27,1,-1.129999,12.5,1,-0.97943,13.52,1,2,1,4,
8113,-1.078777,14.03,1,-1.156374,10.97,1,-0.808972,19.64,1,6,1,2,
8114,-0.903165,22.7,2,-1.02159,17.86,1,-0.608536,29.34,2,4,1,4,
8121,-1.118531,11.73,1,-1.225756,8.93,1,-0.795479,19.9,1,5,1,3,
8122,-1.054401,15.31,1,-1.077039,15.82,1,-0.874578,16.84,1,3,1,3,
8131,-0.877614,23.47,2,-0.989208,19.39,1,-0.47597,34.18,2,3,1,6,
8132,-0.361581,40.05,3,-0.497763,36.99,2,0.062369,54.08,3,1,0,0,
8141,-1.167637,9.95,1,-1.164912,10.46,1,-1.11341,10.46,1,5,1,6,
8142,-1.017296,16.58,1,-1.083311,14.8,1,-0.819647,19.39,1,12,1,3,
8143,-1.092731,13.01,1,-1.101458,13.01,1,-1.063628,10.97,1,2,1,3,
8151,-1.392929,5.61,1,-1.416544,2.81,1,-1.282726,8.42,1,1,0,0,
8152,-1.241662,8.93,1,-1.155505,11.22,1,-1.501937,4.59,1,1,0,0,
8153,-0.963966,19.39,1,-1.272624,7.14,1,-0.178801,43.88,3,1,0,0,
8154,-0.860931,23.98,2,-0.922965,21.68,2,-0.829272,18.88,1,1,0,0,
8156,-1.029855,16.07,1,-1.052404,16.33,1,-0.882549,16.07,1,1,0,0,
8157,-1.054399,15.56,1,-0.889488,24.49,2,-1.346116,6.89,1,1,0,0,
8160,-0.739321,28.57,2,-0.800834,26.53,2,-0.699763,23.98,2,5,1,4,
8171,-1.007965,17.09,1,-1.020829,18.11,1,-0.977337,13.78,1,2,1,3,
8172,-1.165031,10.71,1,-1.265049,7.65,1,-0.821575,19.13,1,1,0,0,
8181,-0.984438,18.37,1,-1.037737,16.58,1,-0.836467,18.37,1,6,1,6,
8182,-0.50325,36.73,2,-0.579769,33.93,2,-0.385215,36.73,2,1,0,0,
8183,-0.978608,19.13,1,-1.010728,18.37,1,-0.903661,15.31,1,1,0,0,
8189,-0.916147,21.68,2,-0.9688,20.15,2,-0.680045,24.74,2,4,1,3,
8211,-0.912308,21.94,2,-0.985849,19.64,1,-0.546186,31.38,2,2,0,0,
8212,-0.56928,34.18,2,-0.736584,29.85,2,-0.112147,46.94,3,5,1,2,
8219,-0.830544,24.74,2,-0.831601,26.02,2,-0.708401,23.72,2,1,0,0,
8311,-0.653636,30.87,2,-0.892047,24.23,2,-0.090834,47.7,3,6,1,17,
8312,-0.512432,36.22,2,-0.605793,33.16,2,-0.184824,43.62,3,3,1,17,
8322,-0.633063,31.12,2,-0.727415,30.1,2,-0.257569,41.58,3,5,1,17,
8331,-0.343019,40.31,3,-0.655852,31.89,2,0.360164,61.22,4,4,1,17,
8332,-0.501216,36.99,2,-0.666312,31.63,2,0.03393,53.06,3,2,1,17,
8341,-1.074429,14.54,1,-1.297593,6.12,1,-0.424736,35.46,2,2,1,6,
8342,-1.089452,13.78,1,-1.310313,4.59,1,-0.4407,35.2,2,5,1,2,
8343,-0.603805,32.4,2,-0.687751,31.12,2,-0.380504,37.5,2,5,1,17,
8344,-0.626033,31.38,2,-0.753815,28.06,2,-0.171544,44.39,3,2,1,17,
8350,-1.01856,16.33,1,-1.222875,9.18,1,-0.283772,40.56,3,2,0,0,
9111,-1.480657,4.08,1,-1.030813,17.35,1,-2.102381,0.77,1,1,1,2,
9112,-1.515585,3.06,1,-1.219731,9.44,1,-1.75716,2.04,1,3,1,3,
9122,-1.629897,2.04,1,-1.535339,1.02,1,-1.417647,5.87,1,1,1,2,
9123,-1.436201,5.36,1,-1.093042,13.78,1,-1.751452,2.55,1,1,1,3,
9129,-1.210591,9.44,1,-1.260409,8.42,1,-0.921719,14.54,1,1,0,0,
9211,-1.601349,2.55,1,-1.43235,2.3,1,-1.590792,3.83,1,1,1,5,
9212,-1.108432,12.24,1,-1.088977,14.29,1,-0.898464,15.82,1,1,1,5,
9213,-1.35489,6.63,1,-1.260664,8.16,1,-1.244628,8.93,1,2,1,5,
9214,-1.712821,1.02,1,-1.544402,0.77,1,-1.646348,3.32,1,2,1,5,
9215,-1.064205,14.8,1,-0.999952,19.13,1,-0.900115,15.56,1,1,1,2,
9216,-1.310841,7.91,1,-1.300223,5.87,1,-1.017222,11.99,1,2,1,5,
9311,-1.543154,2.81,1,-1.572339,0.0,1,-1.176056,9.69,1,1,0,0,
9312,-1.339075,7.14,1,-1.389199,3.57,1,-0.9937,12.5,1,2,0,0,
9313,-1.731342,0.77,1,-1.554708,0.26,1,-1.637084,3.57,1,7,0,0,
9321,-1.51362,3.32,1,-1.193372,9.95,1,-2.100734,1.02,1,1,0,0,
9329,-1.362216,6.38,1,-1.307504,5.36,1,-1.314307,7.91,1,4,1,3,
9331,-0.959113,19.9,1,-0.92241,21.94,2,-0.878281,16.58,1,1,1,4,
9333,-0.922525,21.17,2,-0.878574,25.0,2,-0.873736,17.09,1,4,1,3,
9334,-0.789295,26.28,2,-0.523233,35.46,2,-1.325202,7.65,1,1,1,2,
9412,-1.630702,1.79,1,-1.309295,4.85,1,-2.066141,1.28,1,3,1,2,
9611,-0.568374,34.44,2,-0.597491,33.42,2,-0.274665,41.07,3,2,1,17,
9612,-1.283373,8.42,1,-1.262763,7.91,1,-0.904922,14.8,1,1,1,2,
9621,-1.115564,11.99,1,-0.918205,22.19,2,-1.419183,5.61,1,2,1,4,
9622,-0.983681,18.62,1,-1.061097,16.07,1,-0.617686,28.57,2,3,0,0,
9623,-0.847888,24.23,2,-0.939254,21.43,2,-0.448032,34.44,2,2,0,0,
9629,-0.46524,38.01,2,-0.349644,41.33,3,-0.738131,21.94,2,5,1,2,
