date,sector,age_group,ai_q,variable,value,value_index
2024-06-16,1,1,1,timelonn,9710.807835894839,1.0511352398160145
2024-07-16,1,1,1,timelonn,10632.927091462632,1.1509489794368748
2024-08-16,1,1,1,timelonn,15229.138461727513,1.6484605997441337
2024-09-16,1,1,1,timelonn,11465.728985853302,1.2410946638920652
2024-10-16,1,1,1,timelonn,10934.442994110863,1.1835862219808968
2024-11-16,1,1,1,timelonn,10789.609326060181,1.1679088679468534
2024-12-16,1,1,1,timelonn,10796.519786060686,1.1686568827518646
2025-01-16,1,1,1,timelonn,10134.518316706173,1.0969992941137319
2025-02-16,1,1,1,timelonn,10163.080663741272,1.1000909925602267
2025-03-16,1,1,1,timelonn,10043.588752190133,1.0871567278495087
2025-04-16,1,1,1,timelonn,10200.212452530295,1.104110280386032
2025-05-16,1,1,1,timelonn,9697.204418654954,1.0496627535425338
2025-06-16,1,1,1,timelonn,10870.635731018352,1.1766794780800616
2025-07-16,1,1,1,timelonn,10725.619797169484,1.160982394894054
2025-08-16,1,1,1,timelonn,15301.616221988135,1.6563058716515102
2025-09-16,1,1,1,timelonn,11941.120404800216,1.2925528619746343
2025-10-16,1,1,1,timelonn,11051.601077529593,1.1962678641461888
2025-11-16,1,1,1,timelonn,11442.071056281613,1.2385338384804072
2025-12-16,1,1,1,timelonn,11787.56264115234,1.2759311782336598
2026-01-16,1,1,1,timelonn,10689.126299691174,1.1570321981779996
2026-02-16,1,1,1,timelonn,11005.109025968335,1.1912353854283275
2021-01-16,1,1,2,timelonn,7320.5099623880005,0.9813185534358534
2021-02-16,1,1,2,timelonn,6954.331785029414,0.9322321590245976
2021-03-16,1,1,2,timelonn,7242.434098390394,0.970852439147363
2021-04-16,1,1,2,timelonn,7351.891467343247,0.9855252621495285
2021-05-16,1,1,2,timelonn,7075.427435212439,0.9484651002917407
2021-06-16,1,1,2,timelonn,7142.699631317283,0.9574829767111758
2021-07-16,1,1,2,timelonn,8185.246230049423,1.097236945411952
2021-08-16,1,1,2,timelonn,11678.45484379299,1.565503560893789
2021-09-16,1,1,2,timelonn,8899.79665936892,1.1930228397361828
2021-10-16,1,1,2,timelonn,7380.737683506935,0.9893921139485545
2021-11-16,1,1,2,timelonn,7415.78640105316,0.9940904146105243
2021-12-16,1,1,2,timelonn,8137.834622485821,1.0908813922620446
2022-01-16,1,1,2,timelonn,7519.65319327171,1.0080138175993347
2022-02-16,1,1,2,timelonn,7457.467124737908,0.9996777394939855
2022-03-16,1,1,2,timelonn,7534.695002138542,1.0100301806934493
2022-04-16,1,1,2,timelonn,7623.662803364987,1.0219563654060542
2022-05-16,1,1,2,timelonn,6895.219713268387,0.9243081519473358
2022-06-16,1,1,2,timelonn,7429.97360842162,0.995992217884291
2022-07-16,1,1,2,timelonn,8459.569556437058,1.1340101444387327
2022-08-16,1,1,2,timelonn,11686.82818645529,1.5666260122736804
2022-09-16,1,1,2,timelonn,8899.614587052141,1.192998432837833
2022-10-16,1,1,2,timelonn,7459.871146588411,1.0
