date,sector,age_group,ai_q,fte,percap,fte_index
2022-02-16,1,4,1,3247480.952895645,4.547579305340962,1.0180087743913786
2022-03-16,1,4,1,3224112.961361483,4.514856158923926,1.0106834595498955
2022-04-16,1,4,1,3248390.473646288,4.528818917321749,1.0138091247905205
2022-05-16,1,4,1,3235236.6282557575,4.510480178699205,1.0097038644804708
2022-06-16,1,4,1,3250948.4088757415,4.532385122046955,1.014607445711999
2022-07-16,1,4,1,3242437.038752381,4.500284580000973,1.0074215053970825
2022-08-16,1,4,1,3242351.118384003,4.500165328307171,1.0073948100362102
2022-09-16,1,4,1,3242146.3642499335,4.499881143337276,1.0073311931593008
2022-10-16,1,4,1,3232948.1140766167,4.467131737700153,1.0
2022-11-16,1,4,1,3234478.872702164,4.469246866120917,1.0004734869139662
2022-12-16,1,4,1,3258484.5346482727,4.502416731698729,1.0078988030956846
2023-01-16,1,4,1,3213389.47095073,4.421193110971472,0.9897163035643243
2023-02-16,1,4,1,3251282.6557019698,4.47332905306298,1.0013873142156355
2023-03-16,1,4,1,3225280.452124236,4.437553506909236,0.9933786974444266
2023-04-16,1,4,1,3253842.6473291297,4.458637963190656,0.9980986066657014
2023-05-16,1,4,1,3236142.436875208,4.434383923017232,0.9926691629873936
2023-06-16,1,4,1,3234291.293007582,4.431847358954954,0.9921013346332687
2023-07-16,1,4,1,3225515.54563285,4.401517353716061,0.9853117418879004
2023-08-16,1,4,1,3225956.941280579,4.402119679321332,0.9854465768649369
2023-09-16,1,4,1,3231378.9756208705,4.409518551812754,0.9871028684018484
2023-10-16,1,4,1,3222343.6061442997,4.379046967329568,0.980281582110687
2023-11-16,1,4,1,3229300.7826894196,4.388501515501586,0.9823980516323325
2023-12-16,1,4,1,3261701.9194829627,4.4325334739628905,0.992254926478825
2024-01-16,1,4,1,3219918.460161063,4.3616974478832535,0.9763977657235645
2024-02-16,1,4,1,3229059.075330661,4.37407931355799,0.979169536605144
2024-03-16,1,4,1,3237992.494466276,4.386180511748808,0.9818784780246885
