date,sector,age_group,ai_q,employment,percap,emp_index
2021-03-16,1,3,5,42682.0,0.05900919521478313,0.9876484594911552
2021-04-16,1,3,5,42855.0,0.05932202216737517,0.9928843054756712
2021-05-16,1,3,5,42966.0,0.059475673887374673,0.9954560044117999
2021-06-16,1,3,5,41673.0,0.05768583898683994,0.9654991870747321
2021-07-16,1,3,5,42480.0,0.05887782850585036,0.9854497491506121
2021-08-16,1,3,5,42819.0,0.059347686883051004,0.9933138608493423
2021-09-16,1,3,5,43052.0,0.05967062789156944,0.9987189877691185
2021-10-16,1,3,5,43417.0,0.060253269958019634,1.008470782167767
2021-11-16,1,3,5,43355.0,0.060167227561322555,1.0070306737195922
2021-12-16,1,3,5,43473.0,0.06033098567116539,1.0097715252822475
2022-01-16,1,3,5,42585.0,0.05914164413354054,0.989865282989525
2022-02-16,1,3,5,42587.0,0.059144421714572994,0.9899117719073595
2022-03-16,1,3,5,42810.0,0.05945412199969169,0.995095286245898
2022-04-16,1,3,5,42830.0,0.05949412629201434,0.995764845922855
2022-05-16,1,3,5,42880.0,0.059563580093429255,0.9969273078022887
2022-06-16,1,3,5,41277.0,0.057336891220067146,0.9596587799476461
2022-07-16,1,3,5,42357.0,0.058849600555748525,0.9849772924202467
2022-08-16,1,3,5,42650.0,0.059256686349426886,0.9917907670921812
2022-09-16,1,3,5,42848.0,0.05953178186870441,0.9963950946861848
2022-10-16,1,3,5,42994.0,0.05974716474036234,1.0
2022-11-16,1,3,5,43063.0,0.0598430514772811,1.001604875098851
2022-12-16,1,3,5,43177.0,0.060001473042625125,1.0042564078708656
2023-01-16,1,3,5,42600.0,0.05918738225045433,0.9906308108118501
2023-02-16,1,3,5,42699.0,0.05932493039230397,0.9929329810059903
2023-03-16,1,3,5,42599.0,0.05918599287528413,0.9906075565674649
2023-04-16,1,3,5,42731.0,0.059333530505440976,0.9930769227842215
2023-05-16,1,3,5,42858.0,0.05950987457354589,0.9960284279957448
2023-06-16,1,3,5,41416.0,0.05750760570577201,0.9625160617357732
2023-07-16,1,3,5,42469.0,0.05893331927152428,0.9863785089656604
2023-08-16,1,3,5,42611.0,0.05913036962205188,0.9896765792822001
2023-09-16,1,3,5,42705.0,0.05926081140338704,0.9918598089283601
2023-10-16,1,3,5,43078.0,0.05974135838851714,0.9999028179517735
2023-11-16,1,3,5,42993.0,0.059623478833685815,0.9979298447513951
2023-12-16,1,3,5,43175.0,0.05987587976285407,1.0021543285451464
2024-01-16,1,3,5,42715.0,0.059201736344031176,0.9908710580878376
2024-02-16,1,3,5,42670.0,0.05913936766475033,0.9898271812854509
2024-03-16,1,3,5,42889.0,0.05944289523725046,0.9949073817237334
2024-04-16,1,3,5,42973.0,0.05952351270863633,0.9962566921342977
2024-05-16,1,3,5,42969.0,0.059517972158736755,0.9961639588653024
2024-06-16,1,3,5,41611.0,0.05763695546783018,0.964681014041381
2024-07-16,1,3,5,42690.0,0.05909484799238093,0.9890820468081436
2024-08-16,1,3,5,42949.0,0.05945337611676666,0.9950828022572725
2024-09-16,1,3,5,43159.0,0.05974407459599833,0.999948279648458
2024-10-16,1,3,5,43349.0,0.059970145660952656,1.0037320753471617
2024-11-16,1,3,5,43461.0,0.06012508940392312,1.006325399124847
2024-12-16,1,3,5,43803.0,0.06059822119049365,1.014244298517422
2025-01-16,1,3,5,43337.0,0.05992941833740358,1.0030504141549352
2025-02-16,1,3,5,43568.0,0.060248861206913244,1.0083969920368787
2025-03-16,1,3,5,43649.0,0.06036087364167637,1.0102717660993783
2025-04-16,1,3,5,43591.0,0.06026883236827988,1.008731253276779
2025-05-16,1,3,5,43571.0,0.06024118040692626,1.0082684369829216
