styrk08,navn,navn_en,kortnavn,antall_personer,antall_menn,antall_kvinner,antall_privat,antall_offentlig,antall_13,antall_40,antall_710,kildedato
8154,Operatører innen tekstilbearbeiding,,"Operatør, tekstilbearbeiding",58,33,25,0,0,5,16,8,2024-11-01
8156,Operatører innen skinn og lærprodukter,,"Operatør, skinn eller lærprodukter",45,18,27,45,0,0,17,7,2024-11-01
8157,Renseri- og vaskerimaskinoperatører,,Renseri- eller vaskerimaskinoperatør,2383,868,1515,2089,294,219,904,312,2024-11-01
8160,Operatører innen næringsmiddelproduksjon,,Næringsmiddelproduksjonsarbeider,23382,14434,8948,23379,3,2428,10867,3356,2024-11-01
8171,Operatører innen treforedling,,Treforedlingsarbeider,2780,2352,428,2760,20,234,1095,394,2024-11-01
8172,Operatører innen trelastproduksjon,,Trelastarbeider,3425,3066,359,0,0,235,1263,423,2024-11-01
8181,Operatører innen glass- og keramisk produksjon,,Operatør (glass- eller keramikk),1083,892,191,0,0,92,465,183,2024-11-01
8182,Fyrkjele- og turbinoperatører,,Fyrkjele- eller turbinoperatør,1245,1173,72,444,801,69,341,174,2024-11-01
8183,"Pakke-, tappe- og etikettmaskinoperatører",,"Pakke-, tappe- eller etikettmaskinoperatør",866,559,307,866,0,82,316,127,2024-11-01
8211,Montører av mekaniske produkter,,Montører av mekaniske produkter,1906,1808,98,1885,21,163,877,273,2024-11-01
8212,Montører av elektriske og elektroniske produkter,,Montør av elektriske eller elektroniske produkt,4131,2756,1375,0,0,416,1937,736,2024-11-01
8219,Andre montører,,Montør,73,73,0,73,0,0,28,11,2024-11-01
8311,Lokomotiv og T-baneførere,,Lokomotiv- eller T-banefører,2068,1827,241,2049,19,273,904,407,2024-11-01
8312,Skiftekonduktører mv,,Skiftekonduktør,129,108,21,129,0,5,48,24,2024-11-01
8322,"Bil-, drosje- og varebilførere",,"Bil-, drosje- eller varebilfører",13959,12636,1323,13400,559,1185,6288,2070,2024-11-01
8331,Bussjåfører og trikkeførere,,Bussjåfør eller trikkefører,15395,14071,1324,15319,76,1058,2810,2221,2024-11-01
8332,Lastebil- og trailersjåfører,,Lastebil- eller trailersjåfører,23756,22734,1022,23678,78,1405,8432,2503,2024-11-01
8341,Jordbruks- og skogbruksmaskinførere,,Jordbruks- eller skogbruksmaskinfører,734,715,19,722,12,77,361,112,2024-11-01
8342,Anleggsmaskinførere,,Anleggsmaskinfører,18498,17765,733,15137,3361,2077,8897,3041,2024-11-01
8343,Kran- og heisførere mv.,,Kran- eller heisfører,1739,1658,81,1736,3,108,610,248,2024-11-01
8344,Truckførere,,Truckfører,697,669,28,697,0,52,219,72,2024-11-01
8350,Dekks- og maskinmannskap (skip),,Dekks- eller maskinmannskap (skip),4986,4640,346,4898,88,687,2883,944,2024-11-01
9111,Renholdere i private hjem,,Renholder i private hjem,316,20,296,0,0,10,138,28,2024-11-01
9112,Renholdere i virksomheter,,Renholder i bedrift,52607,10832,41775,33232,19375,4084,16225,6412,2024-11-01
9122,Bilvaskere,,Bilvasker,2795,2453,342,0,0,270,1626,441,2024-11-01
9123,Vinduspussere,,Vinduspusser,110,0,0,110,0,3,53,16,2024-11-01
9129,Andre rengjørere,,Renholder,10,0,0,10,0,0,4,0,2024-11-01
9211,Hjelpearbeidere i nyttevekstproduksjon,,Hjelpearbeider i nyttevekstproduksjon,60,23,37,60,0,7,32,0,2024-11-01
9212,Hjelpearbeidere i husdyrproduksjon,,Hjelpearbeider i husdyrproduksjon,480,127,353,467,13,77,344,93,2024-11-01
9213,Hjelpearbeidere i kombinasjonsbruk,,Hjelpearbeider i kombinasjonsbruk,321,202,119,309,12,42,178,24,2024-11-01
9214,Hjelpearbeidere i gartneri mv.,,Hjelpearbeider i gartneri,1179,925,254,792,387,108,553,122,2024-11-01
9215,Hjelpearbeidere i skogbruk,,Hjelpearbeider i skogbruk,46,40,6,41,5,7,25,4,2024-11-01
9216,Hjelpearbeidere innen havbruk,,"Hjelpearbeider, havbruk",74,55,19,66,8,12,47,7,2024-11-01
9311,Hjelpearbeidere i bergverk,,Hjelpearbeider i bergverk,24,24,0,24,0,3,17,5,2024-11-01
9312,Hjelpearbeidere i anlegg,,Hjelpearbeider i anlegg,12575,11852,723,12203,372,1495,7046,2017,2024-11-01
9313,Hjelpearbeidere i bygg,,Hjelpearbeider i bygg,4994,4715,279,4990,4,521,2712,608,2024-11-01
9321,Håndpakkere mv.,,Håndpakker,933,573,360,926,7,57,456,135,2024-11-01
9329,Andre hjelpearbeidere i industri,,Hjelpearbeider i industri,6623,5433,1190,6614,9,821,3640,1122,2024-11-01
9333,Laste- og lossearbeidere,,Laste- eller lossearbeider,4336,3779,557,4290,46,655,2647,721,2024-11-01
9334,Varepåfyllere,,Varepåfyller,970,753,217,958,12,131,589,157,2024-11-01
9412,Kjøkkenassistenter,,Kjøkkenassistent,14767,4407,10360,12072,2695,1525,6761,1847,2024-11-01
9510,Reklamedistributører mv.,,Reklamedistributør,263,229,34,263,0,17,114,28,2024-11-01
9611,Renovasjonsarbeidere,,Renovasjonsarbeider,5198,4701,497,3934,1264,365,2070,686,2024-11-01
9612,Gjenvinningsarbeidere,,Gjenvinningsarbeider,1014,855,159,716,298,114,452,178,2024-11-01
9613,Gatefeiere mv.,,Snømåker,23,0,0,0,0,0,13,3,2024-11-01
9621,Bud mv.,,Bud,2059,1638,421,1987,72,227,1057,264,2024-11-01
9622,Altmuligmann,,Altmuligmann,2759,1879,880,2146,613,246,1297,350,2024-11-01
9623,Måleravlesere mv.,,Måleravleser,86,54,32,80,6,6,29,9,2024-11-01
9629,Andre hjelpearbeidere,,Hjelpearbeider,1713,861,852,1070,643,188,782,191,2024-11-01
9994,Uføretrygdet eller på arbeidsavklaringspenger (AAP),,Uføretrygd,346926,146375,200551,0,0,9231,74316,32538,2024-11-01
9995,Registrert arbeidsledig eller på arbeidsmarkedstiltak,,Arbeidsledig / på tiltak,97761,51122,46639,0,0,14155,56322,17207,2024-11-01
9996,Utenfor arbeidsstyrken,,Ikke i arbeid,178633,91734,86899,0,0,19178,102008,27453,2024-11-01
9997,Utenfor arbeidsstyrken og under utdanning,,I utdanning,103422,47685,55737,0,0,23664,95766,10749,2024-11-01
9999,Selvstendige,,Selvstendig næringsdrivende,140162,91157,49005,140162,0,7272,36674,15235,2024-11-01
