code,parentCode,level,name
335909,3359,5,"Medieproduksjon, Vg2, grunnkompetanse"
335999,3359,5,"Medie- og informasjonsfag, andre, uspesifiserte, videregående, grunnutdanning"
336,33,3,Psykologiske fag
3361,336,4,Psykologi
336199,3361,5,"Psykologi, uspesifisert, videregående, grunnutdanning"
3369,336,4,"Psykologiske fag, andre"
336999,3369,5,"Psykologiske fag, andre, uspesifiserte, videregående, grunnutdanning"
337,33,3,Juridiske fag
3371,337,4,Rettsstudiet
337199,3371,5,"Rettsstudiet, uspesifisert, videregående, grunnutdanning"
3372,337,4,Kriminologi
337299,3372,5,"Kriminologi, uspesifisert, videregående, grunnutdanning"
3379,337,4,"Juridiske fag, andre"
337999,3379,5,"Juridiske fag, andre, uspesifiserte, videregående, grunnutdanning"
338,33,3,Sosialantropologiske fag
3381,338,4,Sosialantropologiske fag
338199,3381,5,"Sosialantropologiske fag, uspesifiserte, videregående, grunnutdanning"
3389,338,4,"Sosialantropologiske fag, andre"
338999,3389,5,"Sosialantropologiske fag, andre, uspesifiserte, videregående, grunnutdanning"
339,33,3,"Samfunnsfag og juridiske fag, andre"
3399,339,4,"Samfunnsfag og juridiske fag, andre"
339999,3399,5,"Samfunnsfag og juridiske fag, andre, uspesifiserte, videregående, grunnutdanning"
34,3,2,Økonomiske og administrative fag
341,34,3,Økonomisk-administrative fag
3411,341,4,Økonomisk-administrative fag
341101,3411,5,Arbeidslederutdanning for yrkesfagarbeidere
341102,3411,5,"Økonomiske og administrative fag, VK I"
341199,3411,5,"Økonomisk-administrative fag, uspesifiserte, videregående, grunnutdanning"
3419,341,4,"Økonomisk-administrative fag, andre"
341999,3419,5,"Økonomisk-administrative fag, andre, uspesifiserte, videregående, grunnutdanning"
342,34,3,Handel og markedsføring
3421,342,4,Handel
342101,3421,5,"Butikkfag, VK I"
342102,3421,5,"Butikklederutdanning, videregående, grunnutdanning"
342103,3421,5,"Salg og service, grunnkurs"
342104,3421,5,"Salg og service, VK I"
342199,3421,5,"Handel, uspesifisert, videregående, grunnutdanning"
3422,342,4,Markedsføring
342299,3422,5,"Markedsføring, uspesifisert, videregående, grunnutdanning"
3429,342,4,"Handel og markedsføring, andre"
342901,3429,5,"Salg, service og reiseliv, Vg1"
342902,3429,5,"Salg, service og reiseliv, Vg1, grunnkompetanse"
342903,3429,5,"Salg og reiseliv, Vg2"
342904,3429,5,"Salg og reiseliv, Vg2, grunnkompetanse"
342999,3429,5,"Handel og markedsføring, andre, uspesifiserte, videregående, grunnutdanning"
343,34,3,Kontorfag
3431,343,4,Sekretærutdanninger
343101,3431,5,"Sekretærutdanning, videregående, grunnutdanning"
343199,3431,5,"Sekretærutdanning, uspesifisert, videregående, grunnutdanning"
3432,343,4,Kontorfag
343201,3432,5,"Handels- og kontorfag, toårig grunnkurs"
343202,3432,5,"Kontorfag, VK I"
343203,3432,5,Kontorpersonale for helseinstitusjoner
343299,3432,5,"Kontorfag, uspesifiserte, videregående, grunnutdanning"
3439,343,4,"Kontorfag, andre"
343999,3439,5,"Kontorfag, andre, uspesifiserte, videregående, grunnutdanning"
344,34,3,Hotell- og reiselivsfag
3441,344,4,Reiselivsfag
344101,3441,5,"Reiseliv, Vg2"
344199,3441,5,"Reiselivsfag, uspesifiserte, videregående, grunnutdanning"
3442,344,4,Hotell- og restaurantfag
344201,3442,5,"Kjøkkenleder, videregående, grunnutdanning"
344299,3442,5,"Hotell- og restaurantfag, uspesifiserte, videregående, grunnutdanning"
3449,344,4,"Hotell- og reiselivsfag, andre"
344901,3449,5,"Reiseservice- og resepsjonsfag, VK I"
344999,3449,5,"Hotell- og reiselivsfag, andre, uspesifiserte, videregående, grunnutdanning"
349,34,3,"Økonomiske og administrative fag, andre"
3499,349,4,"Økonomiske og administrative fag, andre"
349901,3499,5,"Bankakademiet, grunnutdanning"
349902,3499,5,"Saksbehandlerkurs, videregående, grunnutdanning"
349903,3499,5,"Spesialutdanning for offentlig ansatte funksjonærer, videregående, grunnutdanning"
349904,3499,5,"Service og samferdsel, Vg1"
349905,3499,5,"Salg, service og sikkerhet, Vg2"
349906,3499,5,"Service og samferdsel, Vg1, grunnkompetanse"
349907,3499,5,"Salg, service og sikkerhet, Vg2, grunnkompetanse"
349908,3499,5,"Service, sikkerhet og administrasjon, Vg2"
349909,3499,5,"Service, sikkerhet og administrasjon, Vg2, grunnkompetanse"
349999,3499,5,"Økonomiske og administrative fag, andre, uspesifiserte, videregående, grunnutdanning"
35,3,2,"Naturvitenskapelige fag, håndverksfag og tekniske fag"
351,35,3,Biologiske fag
3511,351,4,Zoologiske fag
351199,3511,5,"Zoologiske fag, uspesifiserte, videregående, grunnutdanning"
3512,351,4,Botaniske fag
351299,3512,5,"Botaniske fag, uspesifiserte, videregående, grunnutdanning"
3513,351,4,Mikrobiologi og cellebiologi
