age_bin,ai_q,k,coef,se,n_obs,n_occ
1,3,8,0.011036007078970003,0.02097470026604314,24366,393
1,3,9,-0.030479854897000135,0.03862051856836273,24366,393
1,3,10,-0.010993331447698236,0.025574802806882103,24366,393
1,3,11,0.022369492813364013,0.02526726436234239,24366,393
1,3,12,0.0468685204146887,0.029062802378258774,24366,393
1,3,13,0.06874928171103048,0.030311553514935082,24366,393
1,3,14,0.07301749520954545,0.024714302527034486,24366,393
1,3,15,0.059180835921944265,0.034109820895069067,24366,393
1,3,16,0.05591251223372449,0.033727948691738716,24366,393
1,3,17,0.04703715690482379,0.030295267551416746,24366,393
1,3,18,0.043738642414056596,0.029697882866522276,24366,393
1,3,19,0.032632867049498325,0.02620263373434533,24366,393
1,3,20,0.009074309616857333,0.020174089740647362,24366,393
1,3,21,-0.023372411873913874,0.0336675204265734,24366,393
1,3,22,0.0037512908796998503,0.031021724048332377,24366,393
1,3,23,0.03204655255464784,0.03404599487133385,24366,393
1,3,24,0.04871420278641445,0.03505131981335028,24366,393
1,3,25,0.0847858186043641,0.032300915569812814,24366,393
1,3,26,0.08859997217885654,0.02683737450383925,24366,393
1,3,27,0.07042036437624741,0.03584074937496581,24366,393
1,3,28,0.06819216433304744,0.03797434537556524,24366,393
1,3,29,0.06575298055422002,0.0362674168532741,24366,393
1,3,30,0.04335287490991884,0.03311254034595186,24366,393
1,3,31,0.046160660714250096,0.032205058318452016,24366,393
1,3,32,0.02459368580328043,0.03227670312843027,24366,393
1,3,33,-0.014576622089281607,0.048569575172563335,24366,393
1,3,34,0.014010676858988439,0.04122717949930647,24366,393
1,3,35,0.04660964246449276,0.03593146508189456,24366,393
1,3,36,0.06400407147117322,0.03660566869160462,24366,393
1,3,37,0.08248036501083834,0.03365531110921963,24366,393
1,3,38,0.08145830579501671,0.02984654321897373,24366,393
1,3,39,0.06985004132625808,0.034978180266549766,24366,393
1,4,-22,-0.21862166098793426,0.0903729099567327,24366,393
1,4,-21,-0.15094252138829653,0.055298535521629624,24366,393
1,4,-20,-0.10189320375617875,0.06198132447126147,24366,393
1,4,-19,-0.10952501595128217,0.0728009279570425,24366,393
1,4,-18,-0.2170778045363382,0.05584285565093981,24366,393
1,4,-17,-0.2144304011006051,0.05234521784752662,24366,393
1,4,-16,-0.24751626109400096,0.1082704136390698,24366,393
1,4,-15,-0.25902264524637586,0.12146237398179881,24366,393
1,4,-14,-0.13390136117323462,0.04785691350544149,24366,393
1,4,-13,-0.057127368084233535,0.030653585083519255,24366,393
1,4,-12,-0.0331354691184094,0.04762978796457729,24366,393
1,4,-11,-0.02727731950414314,0.0477970558868908,24366,393
1,4,-10,-0.16301674209243078,0.053788603752981966,24366,393
1,4,-9,-0.11040871908314132,0.032145822335601065,24366,393
1,4,-8,-0.07453446555613036,0.030428451563963045,24366,393
1,4,-7,-0.07147198221516453,0.0346379724675101,24366,393
1,4,-6,-0.12219554133502183,0.022493117522890887,24366,393
1,4,-5,-0.14923377516698783,0.0601520940884189,24366,393
1,4,-4,-0.20102188487708542,0.1382530869151912,24366,393
1,4,-3,-0.19509553181374584,0.14562177510912264,24366,393
1,4,-2,-0.08131141827413618,0.0676968447050711,24366,393
1,4,-1,0.0,0.0,24366,393
1,4,0,0.030355623106413075,0.01918200548846025,24366,393
1,4,1,0.02579008815093091,0.024457986114855397,24366,393
1,4,2,-0.1088137521019346,0.08939277513448958,24366,393
1,4,3,-0.032877102221421386,0.03836528733165586,24366,393
1,4,4,-0.013143852058423217,0.021060778195329963,24366,393
1,4,5,-0.013991886559087995,0.019007551040934573,24366,393
1,4,6,-0.06662966342463895,0.04890755485134407,24366,393
1,4,7,-0.11222223552577358,0.08893500831738099,24366,393
1,4,8,-0.15571801887872722,0.15207411909644505,24366,393
1,4,9,-0.13960249961196855,0.15413863315930845,24366,393
1,4,10,-0.034305769630537816,0.07740019064643348,24366,393
1,4,11,-0.004320194090635425,0.041173540744265026,24366,393
1,4,12,0.01716848514064817,0.023102941382278183,24366,393
1,4,13,0.0012936342149551152,0.023542084035852763,24366,393
1,4,14,-0.0813355155607231,0.08130202988309852,24366,393
1,4,15,-0.04240323942932654,0.05029731371008071,24366,393
1,4,16,-0.023114590121602566,0.03819779685879428,24366,393
1,4,17,-0.036925892474239434,0.03781264886706674,24366,393
1,4,18,-0.09543590729409927,0.06305352516362053,24366,393
1,4,19,-0.13508256117015147,0.09762567661866645,24366,393
1,4,20,-0.18827869863926247,0.1579091880837679,24366,393
